名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
イーグルアイ,15000,7500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
いなずまの剣,8500,4000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
インセクトキラー,4000,2000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
ウィンドスピア,5000,2500,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1
ウォーハンマー,6200,3100,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
黄金のつるはし,16000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
おおかなづち,1500,750,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
金の剣,3000,1500,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
くさなぎの剣,10000,5000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
グリンガムのムチ,5000,2500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
げんわくの剣,6500,3250,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
こおりのやいば,10000,2000,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1
こんぼう,300,150,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
砂塵の槍,13500,6500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
じごくのやいば,7000,3500,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
スライムハンマー,6000,3000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
正義のそろばん,10000,5000,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
ゾンビキラー,8000,4000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
つるはし,1000,500,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
鉄のオノ,1200,600,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
鉄の槍,2000,1500,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
デーモンスピア,6000,3000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
突風の剣,15000,7500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
どうのつるぎ,400,200,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0
どくばり,6000,3000,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
ドラゴンキラー,8000,4000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
のこぎりがたな,1000,500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
はおうのオノ,35000,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
はかいの鉄球,10000,5000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
はがねの剣,1800,900,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
はがねのはりせん,2000,1000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
はぐれメタルの剣,5000,2500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
はやぶさの剣,20000,10000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
はんごろしの剣,30000,15000,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
ハンターソード,7800,3900,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1
封印剣,15000,7500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
ブレッドハンド,3000,1500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
兵士の剣,200,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ベビーフォーク,15000,5000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
炎の剣,6000,3000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
まじんのオノ,9500,4000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
まじんのかなづち,9000,4500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
まどろみの剣,5500,2700,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
メタルキングの剣,14000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メタルキングの槍,30000,15000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
妖精の剣,13000,7500,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
ロトの剣,40000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
