名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
アストロンのたね,200,100,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1
命の木の実,400,200,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
いやし草,400,200,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
黄金の草,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
踊り草,100,50,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
火炎草,150,60,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1
ゲキドのたね,200,100,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
雑草,500,320,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
ザメハ草,100,50,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1
しあわせのたね,2000,1000,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
しびれな草,300,150,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
上いやし草,1000,500,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
上やくそう,500,250,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
すばやさのたね,300,150,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
世界樹の葉,1500,750,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
ちからのたね,1500,750,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
ちんもく草,100,50,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1
特やくそう,1500,750,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
毒消し草,300,150,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
毒草,200,100,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
はらぺこ草,400,200,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
ふこうのたね,300,150,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
まいごのたね,100,50,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
マヒのたね,400,200,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1
まもりのたね,500,250,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
まんぷく草,400,200,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
めぐすり草,300,150,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
メダパニ草,100,50,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
めつぶし草,200,100,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1
やくそう,100,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
ラックのたね,700,350,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
ラリホー草,100,80,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
ルーラ草,300,150,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
