名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
インパスのお守り,25000,12500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
遠投のお守り,8000,4000,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1
黄金のお守り,50000,25000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
サビずのお守り,20000,10000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
しびれずのお守り,10000,5000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
通過のお守り,5000,2500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
毒よけのお守り,10000,5000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
ぬすみよけのお守り,5000,2500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
値切りのお守り,10000,5000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
眠らずのお守り,5000,2500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
呪いよけのお守り,5000,2500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
ハラヘラズのお守り,15000,7500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
ハンターのお守り,10000,5000,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
へた投げのお守り,5000,2500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
まんぷくのお守り,10000,5000,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
よくみえのお守り,25000,12500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
ワナぬけのお守り,15000,7500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
