名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
印の盾,15000,7500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
オーガシールド,5000,2500,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
黄金の盾,30000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
大おやぶんの盾,5000,2500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
木の盾,500,250,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
こうらの盾,1800,900,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1
シェフのおなべ,4500,2200,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
真紅の盾,2400,1200,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
青銅の盾,1200,600,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
チーズシールド,3200,1600,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
ちからの盾,5000,2500,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
鉄の盾,3000,1500,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
はぐれメタルの盾,8500,4200,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
ふぶきの盾,9000,4500,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
ホワイトクロス,3600,1800,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
みかがみの盾,8500,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メタルキングの盾,15000,7500,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
やいばの盾,4000,2000,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
ラウンドシールド,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ロトの盾,40000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
