名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
インパスの壺,400,200,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
黄金の壺,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
回復の壺,200,100,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
強化の壺,1000,500,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
合成の壺,2000,1000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
祝福の壺,240,120,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
弱化の壺,400,200,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
上モリーの壺,800,400,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
倉庫の壺,200,100,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
特モリーの壺,1900,900,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
呪いの壺,240,120,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
へんげの壺,1000,500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
保存の壺,100,50,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
まものの壺,600,300,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
メッキの壺,600,300,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
モリーの壺,100,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
