名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
いかずちの杖,100,50,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1
黄金の杖,1500,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
おびえの杖,200,100,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1
ぎゃくてんの杖,50,25,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
クオーターの杖,150,75,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
賢者の杖,160,80,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
ゲキドの杖,500,250,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
げんじゅつの杖,140,70,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1
サギの杖,100,50,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
ザキの杖,300,150,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
しあわせの杖,300,150,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
じばくの杖,200,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ドルイドの杖,70,35,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
トンネルの杖,500,200,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1
場所替えの杖,120,60,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
バシルーラの杖,150,75,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
万能の杖,500,250,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1
ピオリムの杖,200,100,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
封印の杖,250,125,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
ふきとばしの杖,200,100,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
ふこおうの杖,300,150,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
ぶんれつの杖,400,200,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
ホイミの杖,80,40,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
ボミオスの杖,200,100,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
マヌーサの杖,1000,500,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
マヒの杖,300,150,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1
メダパニの杖,80,40,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
ものしりの杖,50,25,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
雷神の杖,120,60,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1
ラリホーの杖,200,100,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
ルカニの杖,200,100,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
