名,買値,売値,まどわしの森,カンダタの遺跡昼の間,カンダタの遺跡夜の間,あやしの地下水道,ならくの洞窟,しゃくねつの洞穴,まぼろし雪の迷宮,盗賊王の迷宮,おそろしの大水道,しゃくねつの大洞くつ,まぼろしの大雪道,いにしえの闘技場,のろわれた地下庭園,盗賊王の大宮殿,もっとまどわしの森,竜骨の宝物庫,夢幻の宝物庫,魔導の宝物庫
命の指輪,4000,2000,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
おたからの指輪,10000,5000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
会心の指輪,8000,4000,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
回復の指輪,5000,2500,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1
狩人の指輪,5000,2500,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1
合体の指輪,12000,6000,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
きれいな指輪,8000,4000,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1
幸運の指輪,6000,3000,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1
しあわせの指輪,6000,3000,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
すばやさの指輪,4000,2000,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
ちからの指輪,4000,2000,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
ハラペコの指輪,3000,1500,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1
ハラモチの指輪,3000,1500,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
まもりの指輪,4000,2000,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
命中の指輪,5000,2500,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
ワナよけの指輪,10000,5000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
